name,type,value,date
安徽,,24,2005/1/01
北京,,2,2005/1/01
重庆,,48,2005/1/01
福建,,18,2005/1/01
甘肃,,19,2005/1/01
广东,,36,2005/1/01
广西,,8,2005/1/01
贵州,,29,2005/1/01
海南,,3,2005/1/01
河北,,12,2005/1/01
河南,,10,2005/1/01
黑龙江,,12,2005/1/01
湖北,,4,2005/1/01
湖南,,20,2005/1/01
吉林,,25,2005/1/01
江苏,,7,2005/1/01
江西,,3,2005/1/01
辽宁,,6,2005/1/01
内蒙,,10,2005/1/01
宁夏,,4,2005/1/01
青海,,1,2005/1/01
山东,,7,2005/1/01
山西,,10,2005/1/01
陕西,,16,2005/1/01
上海,,4,2005/1/01
四川,,61,2005/1/01
天津,,1,2005/1/01
西藏,,2,2005/1/01
新疆,,6,2005/1/01
云南,,27,2005/1/01
安徽,,27,2005/11/01
北京,,10,2005/11/01
重庆,,32,2005/11/01
福建,,19,2005/11/01
甘肃,,12,2005/11/01
广东,,13,2005/11/01
广西,,17,2005/11/01
贵州,,30,2005/11/01
海南,,2,2005/11/01
河北,,18,2005/11/01
河南,,8,2005/11/01
黑龙江,,34,2005/11/01
湖北,,10,2005/11/01
湖南,,47,2005/11/01
吉林,,24,2005/11/01
江苏,,7,2005/11/01
江西,,4,2005/11/01
辽宁,,14,2005/11/01
内蒙,,9,2005/11/01
宁夏,,6,2005/11/01
青海,,1,2005/11/01
山东,,9,2005/11/01
山西,,14,2005/11/01
陕西,,33,2005/11/01
上海,,2,2005/11/01
四川,,76,2005/11/01
天津,,2,2005/11/01
西藏,,4,2005/11/01
新疆,,20,2005/11/01
云南,,14,2005/11/01
安徽,,30,2005/3/01
北京,,0,2005/3/01
重庆,,80,2005/3/01
福建,,32,2005/3/01
甘肃,,10,2005/3/01
广东,,18,2005/3/01
广西,,3,2005/3/01
贵州,,24,2005/3/01
海南,,4,2005/3/01
河北,,19,2005/3/01
河南,,7,2005/3/01
黑龙江,,13,2005/3/01
湖北,,1,2005/3/01
湖南,,49,2005/3/01
吉林,,23,2005/3/01
江苏,,4,2005/3/01
江西,,6,2005/3/01
辽宁,,6,2005/3/01
内蒙,,6,2005/3/01
宁夏,,3,2005/3/01
青海,,0,2005/3/01
山东,,7,2005/3/01
山西,,18,2005/3/01
陕西,,29,2005/3/01
上海,,3,2005/3/01
四川,,59,2005/3/01
天津,,0,2005/3/01
西藏,,2,2005/3/01
新疆,,4,2005/3/01
云南,,17,2005/3/01
安徽,,19,2005/5/01
北京,,5,2005/5/01
重庆,,70,2005/5/01
福建,,23,2005/5/01
甘肃,,16,2005/5/01
广东,,23,2005/5/01
广西,,2,2005/5/01
贵州,,29,2005/5/01
海南,,5,2005/5/01
河北,,21,2005/5/01
河南,,7,2005/5/01
黑龙江,,10,2005/5/01
湖北,,4,2005/5/01
湖南,,42,2005/5/01
吉林,,20,2005/5/01
江苏,,5,2005/5/01
江西,,6,2005/5/01
辽宁,,6,2005/5/01
内蒙,,10,2005/5/01
宁夏,,5,2005/5/01
青海,,1,2005/5/01
山东,,9,2005/5/01
山西,,17,2005/5/01
陕西,,28,2005/5/01
上海,,0,2005/5/01
四川,,60,2005/5/01
天津,,2,2005/5/01
西藏,,2,2005/5/01
新疆,,11,2005/5/01
云南,,22,2005/5/01
安徽,,24,2005/7/01
北京,,1,2005/7/01
重庆,,65,2005/7/01
福建,,23,2005/7/01
甘肃,,19,2005/7/01
广东,,18,2005/7/01
广西,,8,2005/7/01
贵州,,40,2005/7/01
海南,,0,2005/7/01
河北,,22,2005/7/01
河南,,10,2005/7/01
黑龙江,,39,2005/7/01
湖北,,4,2005/7/01
